grammar,experiment,n,tokens,node_count,time_us_min,time_us_p25,time_us_median,time_us_p75,time_us_max
stlc,application_chain,1,2,18,204,206,210,214,229
stlc,application_chain,2,3,23,257,756,776,780,862
stlc,application_chain,3,4,28,331,339,812,968,974
stlc,application_chain,4,5,33,396,424,429,435,439
stlc,application_chain,5,6,38,513,544,549,557,568
stlc,application_chain,6,7,43,640,679,685,692,698
stlc,application_chain,7,8,48,779,820,828,838,949
stlc,application_chain,8,9,53,969,975,981,987,1091
stlc,application_chain,9,10,58,1102,1134,1136,1146,1431
stlc,application_chain,10,11,63,1280,1304,1313,1320,1783
stlc,application_chain,11,12,68,1507,1535,1549,1558,1593
stlc,application_chain,12,13,73,1700,1750,1763,1767,1790
imp,declaration_block,1,9,13,410,415,419,422,436
imp,declaration_block,2,16,25,545,571,572,577,582
imp,declaration_block,3,23,38,694,741,744,747,753
imp,declaration_block,4,30,52,851,900,903,912,918
imp,declaration_block,5,37,67,1021,1075,1078,1085,1091
imp,declaration_block,6,44,83,1185,1236,1240,1249,1255
imp,declaration_block,7,51,100,1414,1424,1430,1436,1441
imp,declaration_block,8,58,118,1509,1522,1533,1546,1650
imp,declaration_block,9,65,137,1680,1702,1719,1767,1800
imp,declaration_block,10,72,157,1865,1945,1962,1982,1991
imp,declaration_block,11,79,178,2089,2146,2158,2173,2299
imp,declaration_block,12,86,200,2280,2298,2314,2340,2372
arith,flat_sum,1,1,9,57,57,58,60,82
arith,flat_sum,2,3,16,90,92,93,99,117
arith,flat_sum,3,5,24,127,128,129,132,139
arith,flat_sum,4,7,33,163,165,166,166,178
arith,flat_sum,5,9,43,201,204,205,210,217
arith,flat_sum,6,11,54,246,249,251,257,258
arith,flat_sum,7,13,66,288,290,292,298,303
arith,flat_sum,8,15,79,327,331,334,344,354
arith,flat_sum,9,17,93,376,379,383,389,392
arith,flat_sum,10,19,108,427,433,438,445,468
arith,flat_sum,11,21,124,478,482,487,490,493
arith,flat_sum,12,23,141,529,534,538,545,550
arith,flat_sum,13,25,159,569,581,589,594,606
arith,flat_sum,14,27,178,609,633,638,640,780
arith,nested_parens,1,3,11,84,85,87,92,115
arith,nested_parens,2,5,13,108,109,110,111,121
arith,nested_parens,3,7,15,135,136,140,187,211
arith,nested_parens,4,9,17,165,166,175,219,260
arith,nested_parens,5,11,19,191,193,195,197,204
arith,nested_parens,6,13,21,222,226,228,237,289
arith,nested_parens,7,15,23,250,251,253,257,261
arith,nested_parens,8,17,25,283,291,296,306,322
arith,nested_parens,9,19,27,322,323,330,343,419
arith,nested_parens,10,21,29,339,350,354,359,382
